Player,Team,Age,Pos,Height,Weight,GP,PTS,REB,AST
Ty Jerome,CLE,27,PG / SG,6-5,195,70,12.5,2.5,3.4
Anthony Davis,DAL,32,PF / C,6-10,253,9,20,10.1,4.4
Brandon Williams,DAL,25,PG,6-1,190,33,8.3,1.8,2.3
Caleb Martin,DAL,29,SF / PF,6-5,205,14,5.4,2.9,1.9
Daniel Gafford,DAL,26,C,6-10,265,57,12.3,6.8,1.4
Danté Exum,DAL,29,PG / SG,6-5,214,20,8.7,1.7,2.8
Dereck Lively II,DAL,21,C,7-1,230,36,8.7,7.5,2.4
Dwight Powell,DAL,33,C / PF,6-10,240,55,2.1,2.1,1
Jaden Hardy,DAL,22,SG / PG,6-3,198,57,8.7,1.6,1.4
Jazian Gortman,DAL,22,PG / SG,6-2,184,16,1.5,0.3,0.4
Kai Jones,DAL,24,PF / C,6-11,221,12,11.4,6.6,1.3
Kessler Edwards,DAL,24,SF / PF,6-7,203,40,4.2,2.9,1.1
Klay Thompson,DAL,35,SG / SF,6-5,220,72,14,3.4,2
Kylor Kelley,LAL,27,C,7-0,215,8,3,2.6,0.3
Kyrie Irving,DAL,33,PG,6-2,195,50,24.7,4.8,4.6
Luka Dončić,LAL,26,PG / SG / SF,6-6,230,22,28.1,8.3,7.8
Markieff Morris,LAL,35,PF / C,6-9,245,7,1.7,1.1,0.6
Max Christie,DAL,22,SG / SF,6-5,190,32,11.2,4.2,2.5
Maxi Kleber,LAL,33,PF / C,6-10,240,34,3,2.8,1.3
Moses Brown,DAL,25,C,7-2,258,4,11.8,7.8,0.5
Naji Marshall,DAL,27,SF / SG,6-6,220,69,13.2,4.8,3
Olivier-Maxence Prosper,DAL,22,SF / PF,6-7,230,52,3.9,2.4,0.8
P.J. Washington,DAL,26,PF / C,6-6,230,57,14.7,7.8,2.3
Quentin Grimes,PHI,25,SG / SF,6-4,210,47,10.2,3.8,2.1
Spencer Dinwiddie,DAL,32,PG / SG,6-5,215,79,11,2.6,4.4
Aaron Gordon,DEN,29,PF / SF,6-8,235,51,14.7,4.8,3.2
Christian Braun,DEN,24,SG / SF,6-6,220,79,15.4,5.2,2.6
Dario Šarić,DEN,31,PF / C,6-10,225,16,3.5,3.1,1.4
DeAndre Jordan,DEN,36,C,6-11,265,56,3.7,5.1,0.9
Hunter Tyson,DEN,25,SF / PF,6-8,215,51,2.6,1.5,0.4
Jalen Pickett,DEN,25,PG / SG,6-2,202,49,4.1,1.4,2.2
Jamal Murray,DEN,28,PG / SG,6-4,215,67,21.4,3.9,6
Julian Strawther,DEN,23,SG / SF,6-6,205,65,9,2.2,1.3
Michael Porter Jr.,DEN,27,SF / PF,6-10,218,77,18.2,7,2.1
Nikola Jokić,DEN,30,C,6-11,284,70,29.6,12.7,10.2
PJ Hall,DEN,23,PF / C,6-10,245,19,1.7,1.2,0.2
Peyton Watson,DEN,22,SF / PF,6-7,200,68,8.1,3.4,1.4
Russell Westbrook,DEN,36,PG,6-4,200,75,13.3,4.9,6.1
Spencer Jones,DEN,24,SF,6-7,225,20,1.3,0.9,0.3
Trey Alexander,DEN,22,SG / PG,6-4,185,24,1.3,0.5,0.5
Vlatko Čančar,DEN,28,PF / SF,6-8,236,13,1.8,2.5,0.7
Zeke Nnaji,DEN,24,PF / C,6-9,240,57,3.2,1.6,0.4
Alondes Williams,LAC,26,SG / PG,6-4,210,1,5,0,1
Ausar Thompson,DET,22,SG / SF,6-6,205,59,10.1,5.1,2.3
Bobi Klintman,DET,22,SF / PF,6-9,225,8,1.9,0.9,0.9
Cade Cunningham,DET,23,PG / SG,6-6,220,70,26.1,6.1,9.1
Cole Swider,IND,26,SF / PF,6-8,220,2,0,1,0.5
Daniss Jenkins,DET,23,PG,6-3,165,7,1,0.3,0.4
Dennis Schröder,DET,31,PG,6-1,175,28,10.8,2.6,5.3
Isaiah Stewart,DET,24,PF / C,6-8,250,72,6,5.5,1.7
Jaden Ivey,DET,23,SG / PG,6-4,195,30,17.6,4.1,4
Jalen Duren,DET,21,C,6-10,250,78,11.8,10.3,2.7
Lindy Waters III,DET,27,SG / SF,6-6,210,14,3.4,1,0.7
Malik Beasley,DET,28,SG,6-4,187,82,16.3,2.6,1.7
Marcus Sasser,DET,24,PG / SG,6-2,195,57,6.6,1.2,2.3
Paul Reed,DET,26,PF / C,6-9,210,45,4.1,2.7,1
Ron Harper Jr.,DET,25,SG / SF,6-4,233,1,4,7,2
Ronald Holland II,DET,19,SF / SG,6-8,206,81,6.4,2.7,1
Simone Fontecchio,DET,29,SF / PF,6-7,209,75,5.9,2.9,0.9
Tim Hardaway Jr.,DET,33,SG / SF,6-5,205,77,11,2.4,1.6
Tobias Harris,DET,32,PF / SF,6-8,226,73,13.7,5.9,2.2
Tolu Smith,DET,24,C / PF,6-11,,1,14,8,0
Wendell Moore Jr.,CHA,23,SG / SF,6-5,215,20,3.2,2.2,1.2
Andrew Wiggins,MIA,30,SF / SG,6-7,197,43,17.6,4.6,2.4
Brandin Podziemski,GSW,22,SG / PG,6-4,205,64,11.7,5.1,3.4
Braxton Key,GSW,28,PF / SF,6-8,225,3,1,0.7,0
Buddy Hield,GSW,32,SG,6-4,220,82,11.1,3.2,1.6
De'Anthony Melton,BKN,27,SG / PG,6-3,200,6,10.3,3.3,2.8
Dennis Schröder,DET,31,PG,6-1,175,24,10.6,2.3,4.4
Draymond Green,GSW,35,PF / C,6-6,230,68,9,6.1,5.6
Gary Payton II,GSW,32,SG / PG / SF,6-2,195,62,6.5,3,1.3
Gui Santos,GSW,23,SF / PF,6-6,185,56,4.1,3.1,1.4
Jackson Rowe,GSW,28,SF / PF,6-7,210,6,3.7,1.8,0.7
Jimmy Butler III,GSW,35,SF / SG,6-7,230,30,17.9,5.5,5.9
Jonathan Kuminga,GSW,22,PF / SF,6-7,225,47,15.3,4.6,2.2
Kevin Knox II,GSW,25,SF / PF,6-8,215,14,3.3,1.2,0.4
Kevon Looney,GSW,29,C / PF,6-9,222,76,4.5,6.1,1.6
Kyle Anderson,MIA,31,PF / SF,6-9,230,36,5.3,3.1,2.3
Lindy Waters III,DET,27,SG / SF,6-6,210,38,5.5,2.5,1.1
Moses Moody,GSW,23,SG / SF,6-5,211,74,9.8,2.6,1.3
Pat Spencer,GSW,28,PG / SG,6-3,205,39,2.5,1.2,1.2
Quinten Post,GSW,25,C / PF,7-0,238,42,8.1,3.5,1.3
Reece Beekman,BKN,23,PG,6-3,190,2,1,0.5,0.5
Stephen Curry,GSW,37,PG,6-2,185,70,24.5,4.4,6
Trayce Jackson-Davis,GSW,25,PF / C,6-9,245,62,6.6,5,1.7
Yuri Collins,GSW,24,PG,6-0,190,2,1,1.5,2
Aaron Holiday,HOU,28,PG / SG,6-0,185,62,5.5,1.3,1.3
Alperen Sengun,HOU,22,C,6-11,243,76,19.1,10.3,4.9
Amen Thompson,HOU,22,SG / SF,6-7,200,69,14.1,8.2,3.8
Cam Whitmore,HOU,20,SF / SG,6-7,230,51,9.4,3,1
David Roddy,HOU,24,SF / PF,6-4,255,3,4.3,1.7,0.7
Dillon Brooks,HOU,29,SF / SG,6-6,225,75,14,3.7,1.7
Fred VanVleet,HOU,31,PG,6-0,197,60,14.1,3.7,5.6
Jabari Smith Jr.,HOU,22,PF / SF,6-10,220,57,12.2,7,1.1
Jack McVeigh,HOU,29,SF / PF,6-8,215,9,1.6,0.6,0.1
Jae'Sean Tate,HOU,29,SF / PF,6-4,230,52,3.6,2.3,0.9
Jalen Green,HOU,23,SG,6-4,186,82,21,4.6,3.4
Jeff Green,HOU,38,PF / SF,6-8,235,32,5.4,1.8,0.6
Jock Landale,HOU,29,C,6-11,255,42,4.8,3.3,0.9
N'Faly Dante,HOU,23,C,6-11,230,4,6,5.3,0.5
Nate Williams,HOU,26,SG / SF,6-5,205,20,3.3,0.7,0.5
Reed Sheppard,HOU,21,PG / SG,6-2,185,52,4.4,1.5,1.4
Steven Adams,HOU,31,C,6-11,265,58,3.9,5.6,1.1
Tari Eason,HOU,24,SF / PF,6-8,215,57,12,6.4,1.5
Aaron Nesmith,IND,25,SF / SG,6-6,215,45,12,4,1.2
